session_id,student_id,student_name,tutor_id,tutor_name,subject,session_date,duration_minutes,session_type,rating,comments
64fe79c2-0a77-46a1-9da6-d27207a1cfb2,35783f66-2114-42d6-90ea-1324862f78e1,Jill Clarke,fdfcbce0-d6fd-4516-ab1a-37c623ed6d79,Stuart Shepard,English,2024-03-19,65,one-on-one,5.0,Best consider economy sit.
d79d92bc-2bd1-4b15-8871-9831d0fce12b,ea455fc7-c80c-4483-b4dd-7624c3d9b3b0,Laura Dominguez,5286369e-1eff-4078-b985-577fc069f48d,David Kelley,English,2024-03-14,109,group,2.0,Above yet officer fish.
a14d7071-519f-4558-aba1-a4b506bba00e,39b66d71-951a-4518-87e7-7e2b6b291a13,Erik Stokes,52f29d2c-3747-414b-9140-e8ae892324d6,Victoria Moran,Science,2024-03-22,58,one-on-one,,
838e0b04-ec52-4ef1-b374-263e84cf7446,681091fe-0a5a-4322-8578-42a9934c472a,Curtis Murphy,9bbab50a-969d-4830-9b08-492ec413e9ba,Tyler Parsons,Physics,2024-03-10,98,group,1.0,Into build either relate discuss finish conference.
08415966-ad7b-487f-befd-e1439889cbe1,1624d318-a326-42e8-a1ab-17c0766229cc,Mr. Aaron Hale,b8ed3aa4-681b-470b-82e4-dc34a7f83cd9,Alex Peters,Geography,2024-03-21,88,one-on-one,,
a158972b-f965-44a7-834d-88db7e10fabc,c110412c-3843-4ed6-a586-94b6113c1836,Christopher Mayer,4f73efb1-70dc-4c84-b569-62c2706c360e,Darrell Rivera,Geography,2024-01-10,53,group,1.0,Themselves right anyone until before.
569a6d1f-3331-418c-9405-5fa2d660600a,18711121-c9e8-460c-8a8f-541d052ba051,Monica Davis,9bbab50a-969d-4830-9b08-492ec413e9ba,Tyler Parsons,English,2024-03-29,79,group,5.0,Interview tend drive region unit new TV law.
327bb556-9162-43b7-af1d-4b70ba5a29ff,3e581dd5-eed1-4368-9811-6722277dfc7b,Tara Morgan,ca968927-7194-4669-8dea-a29bdebec758,Jennifer Rogers,History,2024-02-11,53,group,1.0,Share peace notice manage change particular want.
4b2d7213-1e82-44bb-b335-219c09224fa0,4d18c103-a100-4d14-ba92-cd28c4c536fb,Brooke Mccarthy,cfa243f7-74a4-4022-a7b1-5c59cf1b0e9c,Robert Turner,History,2024-05-27,63,group,4.0,Common start college wall.
4e0422b4-bb9f-436e-9477-afc152d3b914,be792965-3c9a-4236-b2bb-e7b392b95731,Sharon Jacobson,114eb0da-b17b-48ae-9eb5-b9e5d838f3ce,Sabrina Nelson,Geography,2024-06-03,51,group,3.0,Political institution individual deal imagine indicate.
b8772d29-938d-41b9-ae35-240924d592f6,3d992624-4b93-48d9-a188-0ea05e5ecd0a,Victor Herrera,3e3292db-b0bd-4bdd-abbf-9e6d9e19e188,James Garcia,History,2024-03-21,76,one-on-one,3.0,Beat rate or money foot since training.
61f1325b-f1fb-4fe5-8e25-d61b4694e128,d370c51f-d8e2-4a4c-8d84-344baef472a7,Caitlyn Williams,cc800b04-07b0-4900-8154-1c1e420fedb8,Erin Wu,Chemistry,2024-06-03,51,group,2.0,Set executive off themselves author still reduce.
91a029cc-c1bb-4ab8-9c4a-7916cebf722d,abf0f4bd-4af0-46fe-9bbd-d1f416f14aad,David Kelly,b7b52ef6-e781-471b-bd62-91167a764f13,Martha Lee,Math,2024-06-02,108,one-on-one,,
298cf53d-7f68-45b3-aaf9-de49db8386fb,061f5679-6908-4bd6-af61-7cacc674d244,Stephen Tran,b8ed3aa4-681b-470b-82e4-dc34a7f83cd9,Alex Peters,English,2024-06-02,100,one-on-one,,
68f76fd6-38d3-4dd6-890f-3f1a61473a02,cb85eda6-db01-48ff-9e21-c855cc713ba6,Alisha Murray,2308b506-cf31-42c4-925b-65b14483cf58,Jack Marsh,English,2024-05-27,63,group,2.0,Program behind number alone join.
a1bfefca-8f62-42db-a0f4-eaaf631c3308,25323fd3-c9f3-4bf8-8d03-cbddcc869dea,William Stephens,e412eb0b-d260-430d-aedc-5fdd27ef0967,Benjamin Garcia DVM,Chemistry,2024-03-26,114,group,,
d05366cc-b051-460d-9f78-e41ee237056f,a4b0c73b-f74e-41a1-a2e5-b72606b9370b,Mark Wise,d3c94fc4-71da-4538-bfdb-8ef3619b351e,Michelle Curry,Science,2024-03-11,101,one-on-one,4.0,Affect can doctor.
9de8ddf4-a4b1-4a7d-8bc7-11a9eb4194a0,b287c440-7881-407d-ae77-1359677abeb7,Amy Fletcher,74020ea1-9b39-485e-89cf-17ba2a51d1ea,Victoria Crawford,Science,2024-04-11,31,group,,
664aaa39-8354-404f-b740-49d33a4bcaab,91dc59ef-eb21-43f6-a6fd-68e8d69c91c2,Michael Levy,cf4d5d14-adc0-4cdf-be29-781507814bf4,Joseph Dunn,Biology,2024-04-04,87,one-on-one,5.0,Seat traditional goal deal western list note before.
14079f9e-ba95-44f6-925f-47cb396836c7,ce65b211-a3c9-48d7-aceb-18652fc339b9,Jason Arroyo,2709483a-176f-4018-b186-46ce90e49461,Sarah Levy,History,2024-04-14,83,one-on-one,,
2a4be525-e134-47a5-a73d-ad161c6d0e35,033c1469-4f06-4a18-b4a2-64447d3c279b,Kristi Martin,c317310d-db21-41c5-9551-d5e34f47bc94,Chelsea Banks,History,2024-02-28,62,group,,
21968b62-1d21-42f4-91b3-16f607366561,6f9179cf-0018-4cfe-8eb0-92207984f33f,William Williams,114eb0da-b17b-48ae-9eb5-b9e5d838f3ce,Sabrina Nelson,History,2024-04-30,45,one-on-one,2.0,Leg citizen owner economic both magazine mean.
873c6d8b-feeb-4881-a33c-8dc3f69cd7e2,c315d334-e47c-48ea-939e-5ca2b9e7f780,David Clark,6a372851-02c1-40b0-bce7-774272280d9a,Curtis Riley,Physics,2024-04-30,78,one-on-one,2.0,It tree onto situation star.
6a864017-8be6-4eb4-ae00-ecbfca1871c6,82f1240d-4e5c-4dd2-9dda-17a36779de0d,Calvin Anderson,d18c9149-847e-4300-baad-e4d47593afba,Christina Price,Science,2024-02-19,82,one-on-one,3.0,Easy often all capital modern determine region.
5dce8477-c9e1-493e-83fb-37430361194e,d432f8db-6a17-4c1c-bf9c-c545635518f7,April Lee,b7b52ef6-e781-471b-bd62-91167a764f13,Martha Lee,Chemistry,2024-01-27,119,group,3.0,Deal important current seven require likely.
b71df25e-3756-4f51-83dc-01010b63983c,7a658abe-1188-4fa1-b660-ffd5119fc1c4,Troy Hawkins,36cc66a4-03a7-490a-b25c-c9a3edbc59fe,Michelle Mullins,Science,2024-03-27,45,one-on-one,1.0,Father they hear very during.
c78e0f48-4522-4c79-9cf5-2508aac487b1,d44f85e7-e2f8-4051-813c-66888f1b5be1,Tyler Wright,0c445964-acdb-4ccc-900d-cfdbc413b8e8,Monique Jacobson,Chemistry,2024-03-21,41,one-on-one,1.0,If example treatment together.
0f5a3f57-c637-471a-af98-62dadc8848ba,af405e52-199a-4949-ba9d-82b8afbae6c3,Deborah Glover,b473e514-20a7-446b-b9c8-d852760eff62,Daniel Moore,History,2024-05-25,81,group,3.0,Together painting value alone could maintain.
317588ff-4429-4fe7-96df-4c083fc9f149,0fa07a3f-2e29-4065-afa2-31e959acdd98,Amanda Garcia,09b12bc9-8805-4048-b53a-7cec4fbf545a,Christopher Kemp,Biology,2024-03-06,51,one-on-one,3.0,No decade leave interest.
d6dffc21-b1c2-4d56-9ae3-237faa884965,b4577bf7-a251-40a8-9870-c707955fbc33,Dr. Ashley Maxwell,746c8933-eee6-4c71-ae16-6b743841ed43,Kimberly Harris,History,2024-02-22,97,group,3.0,Modern young century again always car strategy.
4b385492-d4c6-400b-9f00-99167df8b7f0,0212585b-0b2f-4580-b3f0-53233bd5f8a2,Aaron Wilson,e1bd8bab-1a6e-4ef7-9470-08340af23ed3,Michael Torres,English,2024-01-12,101,one-on-one,3.0,Decision about idea must end anything.
1b95cd28-b276-4173-83ce-0b81fee2f56b,90ec8374-6862-4c24-a13a-6ad812b34a24,Tracy Reynolds,b397b350-838a-425d-b436-915272e99ed1,William Miller,History,2024-03-10,103,group,5.0,Machine them career.
572de2ff-eaaa-4a3e-b1db-d1d548e003be,98c75205-1e01-4934-802d-0baf878b9f6b,Mary Smith,d9836a1f-bad8-4e6a-9f5c-e777dae3c720,Carlos Sims,Geography,2024-02-15,62,one-on-one,,
3302a5ca-d4ae-44b3-bab2-a7803dbe0be0,6b944e09-21cc-44b3-92bd-f75fb3c161c3,Jason House,85b3a01e-e414-4592-92ce-51fd55ed6029,Danny Harper,English,2024-02-06,37,group,3.0,Lead probably base open scene today.
88f1559e-1f26-4d01-a0e2-48c1af5f7bd6,c5cf255f-278d-44f6-88df-480ea3b4e529,Philip Taylor,81992dc5-d748-4a76-80aa-f97e454b57c1,Scott Stanley,English,2024-02-18,63,group,3.0,Debate front free long hot.
f61d103d-f860-4014-ab3c-1658aa3042f9,4fe4b735-5c29-46da-81d7-fbe99df497f1,Alexander Stokes,5e3fafbf-fc06-43de-adb3-a8a79e9e44c5,Christine Cortez,Science,2024-03-08,107,group,2.0,Machine strong just ability.
e0968f21-06e0-40ea-a403-2ee1e75711fc,606e8502-002f-4cc4-896b-fafff5b7751f,Tony Dominguez,4f73efb1-70dc-4c84-b569-62c2706c360e,Darrell Rivera,Geography,2024-04-13,120,one-on-one,4.0,Before series hotel community.
6f086f65-88df-4307-8b32-0459ab46afee,52722246-257e-4412-a215-74899fbd4b9f,Ryan Scott,04cb4dad-d98e-4ec6-8fde-ab3c158423a5,Pamela Rodriguez,Biology,2024-05-12,58,group,,
b58e2a1c-cdf5-4f9b-8102-364b1c0989b1,b3969057-425c-4200-905a-da6b720299e3,Joseph Freeman,52f29d2c-3747-414b-9140-e8ae892324d6,Victoria Moran,English,2024-02-09,48,group,3.0,Manager believe day fly.
15f82b2f-bc89-4faf-8cf4-627782dcf736,17fd3736-b7ef-441c-9e00-ea6dca24be4d,Marc Williams,4d433c1f-4e25-442b-8c45-89b5bbd4b4ed,Kevin Adams,Chemistry,2024-01-21,81,one-on-one,,
ac91b72f-6c14-4828-b9b4-3af780082244,2367ad9e-8dcd-4d64-b9e8-e4ee8b7f6d7a,Daniel Perez,e89a006d-7163-4db0-80af-906697046d7c,Tracy Johnson,Biology,2024-04-17,64,one-on-one,1.0,One quickly mission score stay question population.
cc2946f5-25bc-46a3-adf1-9dfb5a5915c2,07b6e08e-6ac1-4a75-afb9-18c86e5bac20,Sean Nguyen III,aaa91ed4-7be1-451a-bc12-55417d534839,Vincent Roth,Biology,2024-01-24,119,group,,
cc583f50-d8d0-4c0d-bb4e-01c54980588c,567fec5e-04ea-481d-a006-8c1cbbd743b3,Cheryl Gutierrez,ad26ebe4-cadf-4be2-868f-63654405962b,Jeremy Page,Chemistry,2024-05-23,113,one-on-one,4.0,After art tell idea accept.
7c6d07e3-2c89-41bd-8b71-18acc2411753,3085ee6d-a31c-45d2-8d96-a6a19dbdc6ff,Kimberly Brown,09b12bc9-8805-4048-b53a-7cec4fbf545a,Christopher Kemp,English,2024-02-27,69,group,5.0,Each scene control standard.
d9566c07-ea9b-44dd-b0b0-bed83f41b5b5,0c15a575-09c6-4c1d-80f2-460382951fe0,Ashley Carr,9067f726-4ce6-4c93-99b6-edfad219c778,Andrew Smith,Physics,2024-04-14,68,group,4.0,Story case establish cost buy develop.
13e34b3d-3d94-4990-b092-a5ff948c2d43,a83299e9-fae4-4529-ba9f-cece50ed6af2,Katelyn Olson,ef137c97-1058-4f45-a539-021523c0b469,Andrew Burns,Math,2024-04-02,70,group,2.0,Practice century go east trip election.
6d2db46a-5bb9-45f9-b157-45ccccfcd746,771a0a12-2a6c-46cb-aa63-0fd171cf539d,Ronald Jackson,c2f27fc1-b210-4ccd-a51e-0bdec816c4aa,Crystal Washington,Math,2024-02-22,120,one-on-one,,
e3a2c249-edab-43d2-93e4-bdd3ee51bca0,91dc59ef-eb21-43f6-a6fd-68e8d69c91c2,Michael Levy,27836433-60c3-446c-bc6b-f04b5a3d4eac,David Lutz,History,2024-01-21,42,one-on-one,,
76ad2cfc-23f4-4e14-bc8b-a273caa7b1c8,3a05c0b7-3ddf-45b2-8151-28dbaf8c96a9,Dr. Donald Smith MD,09b12bc9-8805-4048-b53a-7cec4fbf545a,Christopher Kemp,English,2024-05-01,90,one-on-one,2.0,Employee grow ok physical who establish.
100cfe80-2132-4c24-81b3-77bd59eae69a,f902d6c0-5bf5-4279-8704-768e6e927501,Ralph Kaiser,81992dc5-d748-4a76-80aa-f97e454b57c1,Scott Stanley,Physics,2024-05-28,94,one-on-one,4.0,Cover training product majority rest culture.
7b6c0adb-c490-4581-a6ab-247a75fe000c,bda17da2-000f-463d-a2a0-1335a83023ab,Jonathon Scott,a3455904-0830-47b4-9b5e-ea1f8eace752,James Burch,Science,2024-03-02,64,group,1.0,Whose choose second listen western treatment.
7bef34f0-4fc3-489b-9c14-c815d24f8f43,35783f66-2114-42d6-90ea-1324862f78e1,Jill Clarke,302d6194-ee55-4e17-9e5d-d6f9aabaa3a8,Kathleen Todd,English,2024-01-28,54,group,2.0,Size try nearly.
b0a1baa5-6921-41c0-8bae-07a2488d6a21,c36a4162-da59-4d3e-a0fe-9e1b79101825,Shirley Robbins,cf4d5d14-adc0-4cdf-be29-781507814bf4,Joseph Dunn,Physics,2024-06-04,75,group,3.0,Party enough risk whether board.
2d716023-97ec-4a40-b6ad-98ba10fb5581,2367ad9e-8dcd-4d64-b9e8-e4ee8b7f6d7a,Daniel Perez,52f29d2c-3747-414b-9140-e8ae892324d6,Victoria Moran,Chemistry,2024-01-14,53,group,3.0,Religious force us development section medical effect.
64d63e97-de6f-43f1-9ce7-6bc0c34c3f47,3e581dd5-eed1-4368-9811-6722277dfc7b,Tara Morgan,7b2f84a1-db45-435d-a332-8206f963aee1,Victoria Humphrey,History,2024-02-14,43,one-on-one,4.0,Section performance gas wind specific general must.
6ce2a465-1b74-4111-a032-943c4ab878c7,0a9d499c-a269-4c2d-a14f-1ddc4bc972ce,Jeffrey Fleming,d2e922b3-e80a-4294-b3cf-eea6aac41158,Cody Myers,English,2024-05-01,67,one-on-one,5.0,Identify stand positive record wide suddenly.
4b990ee7-f671-4d76-955e-988df24bfd76,ef6ed981-be23-4d25-ac78-8719d9371f2a,Melissa Brown,4f0fa9db-4b6a-4fea-81cf-7f935e6cc9e4,Andrew Williams,Science,2024-04-15,74,group,2.0,Throughout much nation bar.
0c8dc79b-90e7-4b94-87f8-19dbe8d7025b,03cb8f1e-9b9a-4bf5-8a78-491f02115503,Tiffany Beasley,746c8933-eee6-4c71-ae16-6b743841ed43,Kimberly Harris,Chemistry,2024-03-19,118,one-on-one,5.0,Near future walk child loss our.
8615ad73-6993-43f1-bde8-2282fc76ff58,4815642c-a2bb-4283-bd83-ad7c39f706d4,Vincent Bell,e309b6b2-7e28-4b78-ab5c-31226e939338,Jeffrey Harris,History,2024-03-12,38,one-on-one,2.0,Accept stay much.
3ed27848-c695-4d85-a31b-328e3a326205,675e0c52-1eb9-4739-b8ac-dd816522ff46,Anthony Nelson,ee9d0e10-f9d7-479d-bd0b-fd3ba7d8baef,Peggy White,Math,2024-02-01,45,one-on-one,2.0,Try wait side part west hold.
f323e434-1bbf-4922-a6db-74d1a7486875,06dc1579-6476-40a1-b6a6-59ef24eac3f4,Monica Bray,2328d866-975e-4ac2-b08d-f7c1e20fed4b,Daniel Howard,Science,2024-01-23,107,group,,
4bc3915a-2539-4d26-9af1-e66f890974e4,62fda854-775e-4ec3-9c9d-03f309018aee,Brian Osborne,22a85558-9028-4d86-b769-8480a0fdd91b,Angela Kelly,Biology,2024-03-10,38,one-on-one,1.0,Factor camera agree direction service ask behavior.
6e9cee64-3f07-4696-82c1-5d9f7c4302c3,a4e0ee5b-1638-425c-8d66-65d8edf2a720,Felicia Hunter,0c7c9761-a617-4e49-844e-c9a812c19b82,Carolyn Fischer,Science,2024-05-30,99,group,2.0,Investment both bill situation.
994d799a-9922-4957-ae70-5259262ae4c4,e0dd0541-7218-4a39-963a-7486be216476,Kristina Winters,b8ed3aa4-681b-470b-82e4-dc34a7f83cd9,Alex Peters,Science,2024-02-06,67,group,,
c2c49a97-2e6f-4665-9776-da51f8c03d19,c74dd25c-6dbf-459c-837d-975248f3531c,Michelle Shah DDS,df0b60b9-6234-439f-beb9-13924c041d5a,Haley Jackson,Geography,2024-05-07,31,one-on-one,1.0,Team moment price site wrong ever.
265a9190-55b1-41c6-8592-51e1de0a09a6,92f078b8-2269-4227-8513-d91e48622a67,Christine Garcia,b473e514-20a7-446b-b9c8-d852760eff62,Daniel Moore,Physics,2024-01-20,34,group,4.0,Ever stock decision sport pay.
e43bd530-9b3e-4605-9083-5669836cd602,033c1469-4f06-4a18-b4a2-64447d3c279b,Kristi Martin,6a372851-02c1-40b0-bce7-774272280d9a,Curtis Riley,History,2024-02-18,68,one-on-one,5.0,Audience generation set onto figure.
e45d7a7c-beb9-4961-bc16-ca041a29313d,5a505a98-45c5-4e39-881d-0ee198082cf3,Sheila Cruz,b397b350-838a-425d-b436-915272e99ed1,William Miller,Physics,2024-04-19,72,one-on-one,3.0,Possible six life see past money generation.
bc7838b3-1a9a-42a3-ac6b-2ea2f856a0c3,23f3e5ae-d1de-4fa8-a1c5-63425033b5a4,James Riley,ef381237-19a0-4532-9219-7d9333a70c3d,Mr. John Heath,English,2024-05-12,108,group,4.0,Other set meet civil.
b2b5591a-9d7f-442b-85e2-b0787a3e9905,8d4e2753-ef26-45b7-8e49-df560b648acd,Joel Hardy,a9c633e2-7c11-4797-b6bf-aa9b641d2571,Charles Morse,History,2024-04-05,40,one-on-one,3.0,See individual compare where value team majority.
9dc257bd-e19d-4d46-95cc-0b0d49556582,ac73189c-6fdc-4e00-a0d9-da583db4cb81,Amanda Houston,140895d0-281b-4255-8fc7-6634cea323b4,Peter Boyer,Chemistry,2024-01-18,118,one-on-one,,
ecd2742d-a246-4856-8a94-891e357245f9,b5f767d3-2111-49a5-baaa-d22c8c372aad,Keith Ferguson,e1bd8bab-1a6e-4ef7-9470-08340af23ed3,Michael Torres,Science,2024-03-19,118,group,3.0,Some stay TV.
570e3fe6-b5ed-49cc-8320-446942493187,bd03c81f-7ff3-4029-92bd-db3b649ec503,Henry Perkins,fcd2f001-852b-49b5-a779-fe32028990e6,Meghan Leonard,Math,2024-02-12,47,one-on-one,3.0,Third three sister cut product have threat.
