student_id,name,age,grade_level,location,subjects,enrollment_date,tutor_id,tutor_name,tutor_experience_years,tutor_rating,pre_tutoring_score,post_tutoring_score,improvement_percentage
35783f66-2114-42d6-90ea-1324862f78e1,Jill Clarke,14,10,Simmonsfort,English,2023-04-25,fdfcbce0-d6fd-4516-ab1a-37c623ed6d79,Stuart Shepard,3,4.6,84,96,14.29
ea455fc7-c80c-4483-b4dd-7624c3d9b3b0,Laura Dominguez,9,11,East Jessica,"English, Biology, Math",2021-12-27,5286369e-1eff-4078-b985-577fc069f48d,David Kelley,5,4.1,81,82,1.23
39b66d71-951a-4518-87e7-7e2b6b291a13,Erik Stokes,11,3,Prestonville,Science,2023-08-09,52f29d2c-3747-414b-9140-e8ae892324d6,Victoria Moran,16,4.8,100,100,0.0
681091fe-0a5a-4322-8578-42a9934c472a,Curtis Murphy,15,7,East Laurastad,"Physics, English",2020-03-28,9bbab50a-969d-4830-9b08-492ec413e9ba,Tyler Parsons,10,4.2,95,100,5.26
1624d318-a326-42e8-a1ab-17c0766229cc,Mr. Aaron Hale,16,10,Smithport,"History, Geography",2020-12-21,b8ed3aa4-681b-470b-82e4-dc34a7f83cd9,Alex Peters,5,3.5,82,87,6.1
c110412c-3843-4ed6-a586-94b6113c1836,Christopher Mayer,12,12,Zimmermanborough,"Physics, Math, Geography",2023-02-16,4f73efb1-70dc-4c84-b569-62c2706c360e,Darrell Rivera,2,4.9,59,65,10.17
18711121-c9e8-460c-8a8f-541d052ba051,Monica Davis,7,8,Mckinneyshire,"Chemistry, Science, English",2021-09-06,9bbab50a-969d-4830-9b08-492ec413e9ba,Tyler Parsons,10,4.2,62,63,1.61
3e581dd5-eed1-4368-9811-6722277dfc7b,Tara Morgan,11,2,North Erin,History,2023-04-22,ca968927-7194-4669-8dea-a29bdebec758,Jennifer Rogers,12,4.5,94,98,4.26
4d18c103-a100-4d14-ba92-cd28c4c536fb,Brooke Mccarthy,18,5,Davisfort,"Physics, Chemistry, History",2021-12-22,cfa243f7-74a4-4022-a7b1-5c59cf1b0e9c,Robert Turner,11,3.6,76,82,7.89
be792965-3c9a-4236-b2bb-e7b392b95731,Sharon Jacobson,7,5,East Frankland,Geography,2023-08-18,114eb0da-b17b-48ae-9eb5-b9e5d838f3ce,Sabrina Nelson,18,4.2,84,94,11.9
3d992624-4b93-48d9-a188-0ea05e5ecd0a,Victor Herrera,15,3,Sheribury,History,2022-11-15,3e3292db-b0bd-4bdd-abbf-9e6d9e19e188,James Garcia,16,4.5,67,83,23.88
d370c51f-d8e2-4a4c-8d84-344baef472a7,Caitlyn Williams,7,1,Foxburgh,"Chemistry, Physics, Biology",2023-04-11,cc800b04-07b0-4900-8154-1c1e420fedb8,Erin Wu,20,4.9,86,95,10.47
abf0f4bd-4af0-46fe-9bbd-d1f416f14aad,David Kelly,14,12,Morganfort,"English, Math, Biology",2023-05-04,b7b52ef6-e781-471b-bd62-91167a764f13,Martha Lee,12,3.8,68,94,38.24
061f5679-6908-4bd6-af61-7cacc674d244,Stephen Tran,7,2,Walkerbury,"Geography, English",2022-02-25,b8ed3aa4-681b-470b-82e4-dc34a7f83cd9,Alex Peters,5,3.5,76,95,25.0
cb85eda6-db01-48ff-9e21-c855cc713ba6,Alisha Murray,14,12,North Robert,"Math, English",2023-03-29,2308b506-cf31-42c4-925b-65b14483cf58,Jack Marsh,3,3.9,66,94,42.42
25323fd3-c9f3-4bf8-8d03-cbddcc869dea,William Stephens,7,7,East Michelle,"English, Chemistry",2023-07-20,e412eb0b-d260-430d-aedc-5fdd27ef0967,Benjamin Garcia DVM,9,4.2,88,88,0.0
a4b0c73b-f74e-41a1-a2e5-b72606b9370b,Mark Wise,15,5,Mcdonaldshire,"Science, Geography",2024-05-26,d3c94fc4-71da-4538-bfdb-8ef3619b351e,Michelle Curry,17,4.8,90,97,7.78
b287c440-7881-407d-ae77-1359677abeb7,Amy Fletcher,18,7,Jamesberg,Science,2021-11-18,74020ea1-9b39-485e-89cf-17ba2a51d1ea,Victoria Crawford,20,4.1,100,100,0.0
91dc59ef-eb21-43f6-a6fd-68e8d69c91c2,Michael Levy,12,6,Port Ericaburgh,"History, Biology, Geography",2022-11-29,cf4d5d14-adc0-4cdf-be29-781507814bf4,Joseph Dunn,18,4.3,50,95,90.0
ce65b211-a3c9-48d7-aceb-18652fc339b9,Jason Arroyo,11,7,West Michael,History,2022-09-02,2709483a-176f-4018-b186-46ce90e49461,Sarah Levy,2,4.9,53,65,22.64
033c1469-4f06-4a18-b4a2-64447d3c279b,Kristi Martin,13,9,Lambfort,History,2022-09-02,c317310d-db21-41c5-9551-d5e34f47bc94,Chelsea Banks,2,3.8,76,78,2.63
6f9179cf-0018-4cfe-8eb0-92207984f33f,William Williams,16,10,Anthonystad,"Math, History",2023-02-15,114eb0da-b17b-48ae-9eb5-b9e5d838f3ce,Sabrina Nelson,18,4.2,76,100,31.58
